标题,标题链接,图片,bilivideocard_statsitem,bilivideocard_statsitem1,bilivideocard_stats_duration,信息_链接,作者,信息
AI“教父”接受BBC采访，警告人工智能或将比人类更聪明｜ChatGPT的巨大潜力，警示对人类的挑战,https://www.bilibili.com/video/BV19h411V7U5/,https://i2.hdslb.com/bfs/archive/2e91b64f0c62e5455e595a43c401f9209488e041.jpg@672w_378h_1c_!web-search-common-cover,471,3,02:23,https://space.bilibili.com/393313748,窄门读书会, · 2023-5-7
乔布斯与自己的对话，结合Midjourney v6的AI Talk,https://www.bilibili.com/video/BV1vb4y137j5/,https://i0.hdslb.com/bfs/archive/baa6ba0a682f5371f7eeca8fa381ea58ef412922.jpg@672w_378h_1c_!web-search-common-cover,3182,3,01:17,https://space.bilibili.com/405083326,AI-Talk, · 2023-12-24
AI短片 用王家卫的方式回顾2023年,https://www.bilibili.com/video/BV1VN4y1q7tm/,https://i1.hdslb.com/bfs/archive/2779c4df21e5a8ce8f35eeffc8f3d781868452eb.jpg@672w_378h_1c_!web-search-common-cover,2.7万,14,03:39,https://space.bilibili.com/405083326,AI-Talk, · 1-8
AI扎克伯格采访AI乔布斯｜谈Vision Pro 为何不是iPhone moment？,https://www.bilibili.com/video/BV1dg4y1K7nC/,https://i0.hdslb.com/bfs/archive/020ab1190aad8bc287d620bf84a1b4ac2c100110.jpg@672w_378h_1c_!web-search-common-cover,2万,21,04:12,https://space.bilibili.com/405083326,AI-Talk, · 2023-6-21
AI乔布斯对谈自己：作为打工人的我们，命运应该交给谁？董宇辉、东方甄选、孟羽童的风波怎么看？,https://www.bilibili.com/video/BV13w41157oa/,https://i1.hdslb.com/bfs/archive/a707caf1987202585e3746f6e56edeb73bb040de.jpg@672w_378h_1c_!web-search-common-cover,2.4万,3,04:31,https://space.bilibili.com/405083326,AI-Talk, · 2023-12-26
【实测】AI杀人了？5家AI只有一家做了选择,https://www.bilibili.com/video/BV16k4y17767/,https://i0.hdslb.com/bfs/archive/3e3d9a00a3e7c4227662bc9ab5cab9bb5833ff36.jpg@672w_378h_1c_!web-search-common-cover,6.5万,525,03:56,https://space.bilibili.com/388433844,硬核的博哥, · 2023-4-29
2023诺贝尔经济学奖得主谈职场女性的性别歧视？｜克劳迪娅戈尔丁哈佛大学教授经济学家｜AI创意短片,https://www.bilibili.com/video/BV1Jw411A7w9/,https://i2.hdslb.com/bfs/archive/070868977af87c7ad965f05acc403228213596e9.jpg@672w_378h_1c_!web-search-common-cover,851,0,01:48,https://space.bilibili.com/3493141155940830,AI学姐雅典娜, · 2023-10-10
比ChatGPT更强的AI？已上线，国内可用！,https://www.bilibili.com/video/BV15o4y1j7Hg/,https://i1.hdslb.com/bfs/archive/128e65b93bfb278d21cdb42ab6a7809bb325221a.jpg@672w_378h_1c_!web-search-common-cover,6445,6,03:01,https://space.bilibili.com/24422902,赛博司马特, · 2023-4-15
中文“AI”居然到了这种程度？,https://www.bilibili.com/video/BV13R4y117t8/,https://i1.hdslb.com/bfs/archive/fc4ea824b354682f2a0adff07b10cfc1b6179d95.jpg@672w_378h_1c_!web-search-common-cover,3.9万,80,08:23,https://space.bilibili.com/46394862,王一快, · 2022-12-2
家人们这个AItalk真的很好用，麻烦各位帅哥美女点个赞吧，点到1000可以获得免费会员，求求了！！！！,https://www.bilibili.com/video/BV1N2421c7ub/,https://i2.hdslb.com/bfs/archive/186bab1483a26d82636babf99f2fbbed1f20ebd6.jpg@672w_378h_1c_!web-search-common-cover,1153,0,01:50,https://space.bilibili.com/3546634522724748,想学口语的小吴, · 2-23
